designator,value,footprint,x_mm,y_mm,rotation_deg,side
C1,100nF,C_0402_1005Metric,58.0,-28.2,90.0,bottom
C2,10uF,C_0603_1608Metric,60.5,-28.2,90.0,bottom
C3,1uF,C_0603_1608Metric,60.0,-31.2,90.0,bottom
C4,100nF,C_0402_1005Metric,34.0,-28.5,90.0,bottom
C5,10uF,C_0603_1608Metric,36.5,-96.5,90.0,bottom
C6,10uF,C_0603_1608Metric,31.5,-93.5,0.0,bottom
C7,100nF,C_0402_1005Metric,64.5,-94.5,90.0,bottom
C8,1uF,C_0603_1608Metric,32.0,-78.0,0.0,bottom
C9,1uF,C_0603_1608Metric,31.9,-84.0,180.0,bottom
C10,100nF,C_0402_1005Metric,32.5,-73.5,180.0,bottom
C11,100nF,C_0402_1005Metric,35.8,-28.8,90.0,bottom
C12,100nF,C_0402_1005Metric,32.5,-59.5,180.0,bottom
C13,10uF,C_0603_1608Metric,31.2,-66.5,180.0,bottom
C14,100nF,C_0402_1005Metric,32.5,-68.5,180.0,bottom
C20,4.7uF 25V,C_0805_2012Metric,67.0,-53.0,0.0,bottom
C21,4.7uF 25V,C_0805_2012Metric,70.5,-73.2,0.0,bottom
C22,1uF 50V,C_0805_2012Metric,66.0,-77.0,0.0,bottom
C23,1uF 50V,C_0805_2012Metric,70.0,-77.0,0.0,bottom
C24,1uF 50V,C_0805_2012Metric,66.0,-80.0,0.0,bottom
C25,1uF 50V,C_0805_2012Metric,70.0,-80.0,0.0,bottom
C26,1uF 50V,C_0805_2012Metric,66.0,-83.0,0.0,bottom
C27,1uF 50V,C_0805_2012Metric,70.0,-83.0,0.0,bottom
C28,1uF 50V,C_0805_2012Metric,66.0,-86.0,0.0,bottom
D2,LMBR0530T1G,D_SOD-123,66.5,-73.2,90.0,bottom
D3,LMBR0530T1G,D_SOD-123,70.5,-68.0,90.0,bottom
D4,LMBR0530T1G,D_SOD-123,66.5,-68.0,90.0,bottom
J1,TYPE-C-31-M-12,USB-C_SMD-TYPE-C-31-M-12_1,26.0,-100.5,0.0,bottom
J2,FH12-24S-0.5SH(55),Hirose_FH12-24S-0.5SH_1x24-2MP_P0.50mm_Horizontal,47.0,-100.4,0.0,bottom
J3,S2B-PH-SM4-TB(LF)(SN),JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,68.75,-44.0,90.0,bottom
L1,XRNR5020-47uH/M 47uH,IND-SMD_L5.0-W5.0_XRNR5020,68.0,-58.0,0.0,bottom
Q1,SI2301CDS-T1-GE3,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,29.0,-87.0,90.0,bottom
