Designator,Mid X,Mid Y,Rotation,Layer
C1,58.000000,-28.200000,90.000000,Bottom
C2,60.500000,-28.200000,90.000000,Bottom
C3,60.000000,-31.200000,90.000000,Bottom
C4,34.000000,-28.500000,90.000000,Bottom
C5,36.500000,-96.500000,90.000000,Bottom
C6,31.500000,-93.500000,0.000000,Bottom
C7,64.500000,-94.500000,90.000000,Bottom
C8,32.000000,-78.000000,0.000000,Bottom
C9,31.900000,-84.000000,180.000000,Bottom
C10,32.500000,-73.500000,180.000000,Bottom
C11,35.800000,-28.800000,90.000000,Bottom
C12,32.500000,-59.500000,180.000000,Bottom
C13,31.200000,-66.500000,180.000000,Bottom
C14,32.500000,-68.500000,180.000000,Bottom
C20,67.000000,-53.000000,0.000000,Bottom
C21,70.500000,-73.200000,0.000000,Bottom
C22,66.000000,-77.000000,0.000000,Bottom
C23,70.000000,-77.000000,0.000000,Bottom
C24,66.000000,-80.000000,0.000000,Bottom
C25,70.000000,-80.000000,0.000000,Bottom
C26,66.000000,-83.000000,0.000000,Bottom
C27,70.000000,-83.000000,0.000000,Bottom
C28,66.000000,-86.000000,0.000000,Bottom
D2,66.500000,-73.200000,90.000000,Bottom
D3,70.500000,-68.000000,90.000000,Bottom
D4,66.500000,-68.000000,90.000000,Bottom
J1,26.000000,-100.500000,0.000000,Bottom
J2,47.000000,-100.400000,0.000000,Bottom
J3,68.750000,-44.000000,90.000000,Bottom
L1,68.000000,-58.000000,0.000000,Bottom
Q1,29.000000,-87.000000,90.000000,Bottom
Q2,67.000000,-50.500000,90.000000,Bottom
Q3,67.000000,-63.000000,90.000000,Bottom
R1,57.500000,-31.200000,90.000000,Bottom
R2,34.000000,-44.000000,90.000000,Bottom
R3,34.000000,-31.200000,90.000000,Bottom
R4,34.000000,-33.700000,90.000000,Bottom
R5,32.500000,-96.500000,90.000000,Bottom
R6,34.500000,-96.500000,90.000000,Bottom
R7,31.500000,-89.500000,0.000000,Bottom
R8,31.500000,-91.500000,0.000000,Bottom
R9,64.500000,-92.000000,90.000000,Bottom
R10,71.000000,-92.000000,90.000000,Bottom
R11,32.000000,-88.500000,0.000000,Bottom
R12,70.500000,-50.500000,90.000000,Bottom
R13,32.500000,-50.500000,0.000000,Bottom
R14,32.500000,-52.500000,0.000000,Bottom
R15,70.500000,-62.000000,90.000000,Bottom
R16,70.500000,-64.400000,0.000000,Bottom
R17,33.000000,-29.000000,90.000000,Bottom
U1,47.000000,-36.900000,180.000000,Bottom
U2,32.900000,-23.800000,90.000000,Bottom
U3,31.600000,-63.000000,90.000000,Bottom
U4,31.000000,-71.000000,90.000000,Bottom
U5,32.000000,-76.000000,90.000000,Bottom
U6,26.000000,-91.500000,90.000000,Bottom
U7,68.000000,-93.500000,90.000000,Bottom
U8,68.000000,-99.000000,90.000000,Bottom
U9,31.700000,-81.000000,90.000000,Bottom
U10,34.500000,-101.000000,90.000000,Bottom
C15,28.000000,-84.000000,90.000000,Top
C16,66.200000,-58.500000,90.000000,Top
C17,66.200000,-69.500000,90.000000,Top
C18,66.200000,-80.500000,90.000000,Top
C19,66.200000,-91.500000,90.000000,Top
D1,24.700000,-84.000000,0.000000,Top
SW1,69.500000,-58.500000,0.000000,Top
SW2,69.500000,-69.500000,0.000000,Top
SW3,69.500000,-80.500000,0.000000,Top
SW4,69.500000,-91.500000,0.000000,Top
